dialog	resource	procedure	control	field	default	bounds
other	0419	004F1FA0	0074	graphics.optimize_new_tiles	1	bool
other	0419	004F1FA0	0065	graphics.reuse_existing_tiles	1	bool
other	0419	004F1FA0	0066	deduplicate_map16	1	bool
other	0419	004F1FA0	006B	layer_priority	0	bool
other	0419	004F1FA0	0068	graphics.blank_tile.enabled	1	bool
other	0419	004F1FA0	006D	use_reserved_map16_for_blank	1	bool
other	0419	004F1FA0	0067	graphics.allocation_start	0200	0000-02FF
other	0419	004F1FA0	0069	graphics.blank_tile	00F8	0000-02FF
other	0419	004F1FA0	006C	map16_allocation_start	8200	0000-FFFF
other	0419	004F1FA0	006E	reserved_map16_tile	8000	0000-FFFF
color	0418	004F15E0	0074	color.allow_modifying_unmarked_colors	1	bool
color	0418	004F15E0	0065	color.prioritize_exact_palette_matches	1	disabled-fixed
color	0418	004F15E0	006E	color.prioritize_unique_colors	1	bool
color	0418	004F15E0	0066	color.maintain_detail	0	bool
color	0418	004F15E0	006C	color.popularity_reduction_method_1	1	bool
color	0418	004F15E0	006D	color.popularity_reduction_method_2	0	bool
color	0418	004F15E0	0071	color.priority_level	3	1-4
color	0418	004F15E0	0069	color.reduction	median-cut	median-cut|popularity
color	0418	004F15E0	0078	color.maximum_colors	128	1-128
color	0418	004F15E0	palette-grid	color.entries	128	128-state-cells
