field	value
tile	600
maximum_page	3F
foreground_color	1
background_color	0
initial_edit_pixel_zero	0
flip_changed_edit_buffer	1
flip_changed_planar_backing	0
second_flip_restored_edit_buffer	1
second_flip_restored_planar_backing	1
foreground_paint_changed_edit_buffer	1
foreground_paint_changed_decoded_backing	0
foreground_paint_changed_planar_backing	0
painted_edit_pixel_zero	1
backing_pixel_zero	0
background_paint_restored_edit_buffer	1
background_paint_restored_decoded	1
background_paint_restored_planar	1
