field	value
lunar_magic_sha256	b64998b637e553c9adb96dd893140b5b8d0303c7a0f46a1fdab5f887a1d46eff
pristine_headered_rom_sha256	5e3d55b019dd012e8db1498dda06b63ad1a304787625402b511e6d525946beaf
original_expanded_rom_sha256	f8d7c8c85306115dbfcd41386ca73674e52f76760ccdebf0a6b66881ce51f288
level	105
graphics_editor_command	232A
shortcut_virtual_key	78
confirmation_title	Save level GFX to Graphics folder?
separate_assignment_order	14,17,1B,15,00,01,13,20
separate_changed_files	00,01,13,14,15,17,1B,20
separate_unchanged_file_count	44
separate_missing_file	GFX33.bin
separate_missing_error	Couldn't open file!
separate_missing_changed_file_count	0
separate_baseline_manifest_sha256	91e018768b058286a7c76175f53bd2ade77650b9a8f72058d694cbfe51be7f1a
joined_toggle_command	24BD
joined_total_size	36D00
joined_changed_ranges	00:00000:01000,01:01000:01000,13:13000:01000,14:14000:01000,15:15000:01000,17:17000:01000,1B:1B000:01000,20:20000:01000
joined_baseline_sha256	162988c296862415518cdd004c5439977e6d39f75dd535c5979bba52756d0d21
joined_observed_sha256	6caa33556b2849d993b03cba1b1eab12964f007065947e690e80c7a1feb63533
joined_expected_sha256	6caa33556b2849d993b03cba1b1eab12964f007065947e690e80c7a1feb63533
