mode	split	expanded	route	primary_additive	primary	alternate	composition	source	enabled	additive	half_color	priority
00	0	0	-	-	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
00	0	1	0	0	15	02	24	ff000201ff	0001010100	0000000000	0000000000	0000000000
00	0	1	0	1	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
00	0	1	1	0	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
00	0	1	1	1	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
00	1	0	-	-	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
00	1	1	0	0	15	02	24	ff00020102	0001010101	0000000000	0000000000	0000010002
00	1	1	0	1	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
00	1	1	1	0	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
00	1	1	1	1	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
01	0	0	-	-	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
01	0	1	0	0	15	02	24	ff000201ff	0001010100	0000000000	0000000000	0000000000
01	0	1	0	1	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
01	0	1	1	0	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
01	0	1	1	1	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
01	1	0	-	-	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
01	1	1	0	0	15	02	24	ff00020102	0001010101	0000000000	0000000000	0000010002
01	1	1	0	1	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
01	1	1	1	0	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
01	1	1	1	1	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
02	0	0	-	-	17	00	24	0200ff01ff	0101000100	0100000000	0000000000	0000000000
02	0	1	0	0	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
02	0	1	0	1	17	00	24	0200ff01ff	0101000100	0100000000	0000000000	0000000000
02	0	1	1	0	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
02	0	1	1	1	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
02	1	0	-	-	17	00	24	0200ff0102	0101000101	0100000001	0000000000	0100000002
02	1	1	0	0	17	00	24	0200ff0102	0101000101	0000000000	0000000000	0100000002
02	1	1	0	1	17	00	24	0200ff0102	0101000101	0100000001	0000000000	0100000002
02	1	1	1	0	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
02	1	1	1	1	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
03	0	0	-	-	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
03	0	1	0	0	15	02	24	ff000201ff	0001010100	0000000000	0000000000	0000000000
03	0	1	0	1	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
03	0	1	1	0	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
03	0	1	1	1	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
03	1	0	-	-	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
03	1	1	0	0	15	02	24	ff00020102	0001010101	0000000000	0000000000	0000010002
03	1	1	0	1	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
03	1	1	1	0	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
03	1	1	1	1	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
04	0	0	-	-	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
04	0	1	0	0	15	02	24	ff000201ff	0001010100	0000000000	0000000000	0000000000
04	0	1	0	1	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
04	0	1	1	0	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
04	0	1	1	1	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
04	1	0	-	-	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
04	1	1	0	0	15	02	24	ff00020102	0001010101	0000000000	0000000000	0000010002
04	1	1	0	1	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
04	1	1	1	0	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
04	1	1	1	1	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
05	0	0	-	-	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
05	0	1	0	0	15	02	24	ff000201ff	0001010100	0000000000	0000000000	0000000000
05	0	1	0	1	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
05	0	1	1	0	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
05	0	1	1	1	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
05	1	0	-	-	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
05	1	1	0	0	15	02	24	ff00020102	0001010101	0000000000	0000000000	0000010002
05	1	1	0	1	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
05	1	1	1	0	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
05	1	1	1	1	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
06	0	0	-	-	17	00	20	0200ff01ff	0101000100	0000000000	0000000000	0000000000
06	0	1	0	0	17	00	20	0200ff01ff	0101000100	0000000000	0000000000	0000000000
06	0	1	0	1	17	00	20	0200ff01ff	0101000100	0100000000	0000000000	0000000000
06	0	1	1	0	17	00	20	0200ff01ff	0101000100	0000000000	0000000000	0000000000
06	0	1	1	1	17	00	20	0200ff01ff	0101000100	0000000000	0000000000	0000000000
06	1	0	-	-	17	00	20	0200ff0102	0101000101	0000000000	0000000000	0100000002
06	1	1	0	0	17	00	20	0200ff0102	0101000101	0000000000	0000000000	0100000002
06	1	1	0	1	17	00	20	0200ff0102	0101000101	0100000001	0000000000	0100000002
06	1	1	1	0	17	00	20	0200ff01ff	0101000100	0000000000	0000000000	0000000000
06	1	1	1	1	17	00	20	0200ff01ff	0101000100	0000000000	0000000000	0000000000
07	0	0	-	-	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
07	0	1	0	0	15	02	24	ff000201ff	0001010100	0000000000	0000000000	0000000000
07	0	1	0	1	15	02	24	ff000201ff	0001010100	0000010000	0000000000	0000000000
07	0	1	1	0	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
07	0	1	1	1	15	02	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
07	1	0	-	-	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
07	1	1	0	0	15	02	24	ff00020102	0001010101	0000000000	0000000000	0000010002
07	1	1	0	1	15	02	24	ff00020102	0001010101	0000010001	0000000000	0000010002
07	1	1	1	0	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
07	1	1	1	1	15	02	24	02000201ff	0101010100	0000000000	0000000000	0100020000
08	0	0	-	-	17	00	24	0200ff01ff	0101000100	0100000000	0000000000	0000000000
08	0	1	0	0	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
08	0	1	0	1	17	00	24	0200ff01ff	0101000100	0100000000	0000000000	0000000000
08	0	1	1	0	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
08	0	1	1	1	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
08	1	0	-	-	17	00	24	0200ff0102	0101000101	0100000001	0000000000	0100000002
08	1	1	0	0	17	00	24	0200ff0102	0101000101	0000000000	0000000000	0100000002
08	1	1	0	1	17	00	24	0200ff0102	0101000101	0100000001	0000000000	0100000002
08	1	1	1	0	17	00	24	0200ff01ff	0101000100	0000000000	0000000000	0000000000
