field	value
selected_export_command	2266
selected_import_command	2267
complete_export_command	2268
complete_import_command	2269
export_dialog	Save As
import_dialog	Open
modern_filter_index	0
raw_filter_index	1
selected_origin	0200
selected_width	1
selected_height	1
selected_size	186
selected_sha256	4a950c7e5d299d5271ecb4f0d67ada02dbea91f46bed06431100b47ea2b96d2d
selected_core_hex	04100410041004103001
selected_import_reexport_equal	1
complete_size	651760
complete_sha256	a0309438fafb4508750c593719034d34157b4c9b19b0f5f930d6af82fb7eab77
complete_import_reexport_equal	1
complete_import_saves_rom	1
rom_before_sha256	7300346506c982766ed3ae370c56a31e30ad7a9603706bc3c6b18051e70f41c7
rom_after_sha256	622b634634f61f3d21031ebe1c3e3fb1413586fa38b13c4ce223e25a25d7aa3f
missing_restore_prompt_title	Restore System Issue
missing_restore_prompt	The restore system cannot locate a copy of the original unmodified ROM with header, which is required for an operation about to be performed.  Would you like to browse to a copy of this file now?
raw_page_definitions_size	2048
raw_page_definitions_sha256	1ecf2cffad749e51d216ed50346dfd78e5d90b1cf9d48fdda0e989e06e33d60e
raw_page_acts_size	512
raw_page_acts_sha256	54668da9f06c6602f89cf3776abcf0662551800a06d72f230756069a1c62cb06
raw_page_import_accepted	1
raw_fg_definitions_size	262144
raw_fg_definitions_sha256	52057b2cc9ff5d49c20387e089c87156d2734df621c384f82aee7f7769c12bc5
raw_fg_acts_size	65536
raw_fg_acts_sha256	8ac1abc9af54b7c75e3618ca9dd543bae36a6f68ded441116bd04f3683481e2b
raw_fg_import_reexport_equal	1
raw_bg_definitions_size	262144
raw_bg_definitions_sha256	b57dc9f33487ad648278e4fa387913167032431365c7ce238bcc8c41199a653e
raw_bg_acts_size	65536
raw_bg_acts_sha256	8cee7de97906618a1509730bb35f56bf67138ca9a1ec2ad3679769f5ca7207b7
raw_bg_import_reexport_equal	1
