field	before	after
dialog	Link Star and Pipe Tiles	Link Star and Pipe Tiles
first_selection_record	003A	003A
first_tile_type	82	82
second_selection_record	00EB	00EB
second_tile_type	82	82
first_combo_row	3	27
second_combo_row	5	28
native_record_count	27	27
record_01_hex	0a0003003804b800	ffffffffffffffff
record_03_hex	0b000e0028091800	ffffffffffffffff
record_19_hex	14040300c80dd801	0a000300b800e800
record_1a_hex	06010700280dd801	0b000e00a8003800
native_file_sha256	e580c3cc353076c9a1878cf6b742cff2e1592832fd87af032d4ae1fac47d4934	12eec5b844a954f2a46c06bdca6b1027c1455b4e8833b0afe332d1150dee54fa
native_file_hex	4c4d4f57575231001b00000011000700a80448010a0003003804b80009001000080938000b000e002809180012001700c80998000a0018004809980007001200280dd8010a0214001801780003020b00a8003800100403009800080112040100b800e8001c0409002801780114040900a800880112061d007800280100020e00280d8801120618000804e80010000f00780d6801170616000801f80014001000c80d88011c0618004801080114000200c80dd8011c061d004809380017061800180b380111051300780d8801110511006802780014040300c80dd80106010700280dd801	4c4d4f57575231001b00000011000700a8044801ffffffffffffffff0900100008093800ffffffffffffffff12001700c80998000a0018004809980007001200280dd8010a0214001801780003020b00a8003800100403009800080112040100b800e8001c0409002801780114040900a800880112061d007800280100020e00280d8801120618000804e80010000f00780d6801170616000801f80014001000c80d88011c0618004801080114000200c80dd8011c061d004809380017061800180b380111051300780d880111051100680278000a000300b800e8000b000e00a8003800
saved_rom_sha256	5e3d55b019dd012e8db1498dda06b63ad1a304787625402b511e6d525946beaf	6dcc0b187d1a5fd3d65aff7e5343728388bc0cef1b7c24c615463ec41d46c293
rejection_selection_record	0000	0000
rejection_tile_type	00	00
rejection_title	Wrong type of tile!	Wrong type of tile!
rejection_body	A star, pipe, or exit tile must be selected to use this.	A star, pipe, or exit tile must be selected to use this.
rejection_rom_sha256	6dcc0b187d1a5fd3d65aff7e5343728388bc0cef1b7c24c615463ec41d46c293	6dcc0b187d1a5fd3d65aff7e5343728388bc0cef1b7c24c615463ec41d46c293
