field	value
color_v2_format	Lunar Magic Color V2
color_v2_size	12
color_v2_bytes	00000000FFF7EF00DD7F0000
color_legacy_format	Lunar Magic Color
color_legacy_size	4
color_legacy_bytes	F8F0E800
row_v2_format	Lunar Magic Color Row V2
row_v2_size	132
row_v2_bytes	0000000000000000111111002222220033333300444444005555550066666600777777008888880099999900AAAAAA00BBBBBB00CCCCCC00DDDDDD00EEEEEE00FFFFFF00000000004208000084100000C6180000082100004A2900008C310000EF3D000031460000734E0000B5560000F75E0000396700007B6F0000BD770000FF7F0000
row_legacy_format	Lunar Magic Color Row
row_legacy_size	64
row_legacy_bytes	00000000101010002020200030303000404040005050500060606000787878008888880098989800A8A8A800B8B8B800C8C8C800D8D8D800E8E8E800F8F8F800
color_v2_decode_result	00007FDD
color_v2_short_result	FFFFFFFF
row_v2_decode_result	00000001
row_v2_decode_colors	00000842108418C62108294A318C39CE42104A5252945AD663186B5A739C7BDE
row_v2_short_result	FFFFFFFF
