field	value
main_open_overworld_command	0x232D
overworld_save_command	0x1F40
playback_import_command	0x1F44
confirmation_title	Insert Joypad Recorded Data for Playback during Intro Level?
confirmation_ok_id	1
confirmation_cancel_id	2
file_dialog_title	Open
file_dialog_filename_id	0x047C
input_rom_size	2097664
input_rom_sha256	7300346506c982766ed3ae370c56a31e30ad7a9603706bc3c6b18051e70f41c7
zsnes_state_size	134163
zsnes_state_sha256	958059ec938e651410f01f6b692176c5037adc854f4fc218bbd051de782f0964
recording_hex	123456ff
output_rom_size	2097664
output_rom_sha256	758c41d8f849d2a96efa76f789f471b37e2843981f0b759e34c6a670cc936676
rust_output_rom_sha256	758c41d8f849d2a96efa76f789f471b37e2843981f0b759e34c6a670cc936676
changed_bytes	335
recording_rats_header	0x086E30
recording_payload	0x086E38
runtime_rats_header	0x086E3C
runtime_payload	0x086E44
hook	0x001C6F
runtime_initial_word	0000
rom_grew	false
stored_checksum_preserved	true
confirmation_cancel_byte_identical	true
file_dialog_cancel_byte_identical	true
batch_import_switch	-ImportTitleMoves
batch_export_switch	-ExportTitleMoves
batch_valid_import_exit	0
batch_valid_import_output_sha256	758c41d8f849d2a96efa76f789f471b37e2843981f0b759e34c6a670cc936676
batch_export_exit	0
batch_export_size	134163
batch_export_sha256	958059ec938e651410f01f6b692176c5037adc854f4fc218bbd051de782f0964
batch_export_byte_identical_to_input	true
batch_malformed_size	12
batch_malformed_title	Not a ZSNES Savestate!
batch_malformed_message	This does not appear to be a valid ZSNES savestate.
batch_malformed_exit	1
batch_malformed_rom_byte_identical	true
batch_absent_export_title	ASM code not detected!
batch_absent_export_message	The ASM code for playback was not detected in the ROM... there is nothing to export.
batch_absent_export_exit	1
batch_absent_export_created_output	false
vanilla_input_size	524800
vanilla_input_sha256	5e3d55b019dd012e8db1498dda06b63ad1a304787625402b511e6d525946beaf
vanilla_expansion_prompt	There is not enough room left to save the data. Do you want Lunar Magic to expand the ROM to 1 MB?
vanilla_expansion_decision	YES
vanilla_output_size	1049088
vanilla_output_sha256	662f1f980bb02f8ec2f6ac1be27835f7269091336f0f07008499afe6717c058c
vanilla_headerless_output_sha256	6b1be7f9ff80479d40a6746a1daad56b0b56f8967b82a4232d910a9cbd1facdd
vanilla_rust_byte_identical	true
vanilla_update_recording_len	257
vanilla_update_reclaim_fill	00
vanilla_update_compensation_end_exclusive	0x07F0A0
vanilla_update_output_sha256	46079b7e14c90d89cc7b46a797bd05a48fabacaec7fc6d7e63134bc405d36bb0
vanilla_update_headerless_output_sha256	e5a23569110361c6a676487932d57d4aa0e9537d3bbf4ff5a3ac957d193a1e6c
vanilla_update_rust_byte_identical	true
