field	value
lunar_magic_version	3.63
main_open_overworld_command	0x232D
overworld_save_command	0x1F40
insert_playback_command	0x1F44
export_playback_command	0x1F45
install_recorder_command	0x1F46
uninstall_recorder_command	0x1F47
install_dialog_title	Warning: Install Joypad Recorder for Levels?
install_ok_id	1
install_cancel_id	2
uninstall_dialog_title	Uninstall Joypad Recorder for Levels?
uninstall_ok_id	1
uninstall_cancel_id	2
before_physical_bytes	2097664
before_sha256	7300346506c982766ed3ae370c56a31e30ad7a9603706bc3c6b18051e70f41c7
installed_physical_bytes	2097664
installed_sha256	abc3977c5e03535fa0b60ad6339e231e600a59759b0b6d77228dc840c07f3b9b
installed_changed_bytes	347
first_hook_logical_range	0x0021DA..0x0021E4
second_hook_logical_range	0x02D79B..0x02D7A1
runtime_rats_header_logical_offset	0x086E30
runtime_payload_logical_range	0x086E38..0x086EEA
runtime_payload_sha256	9923e5f011d5a4d9bca718480e8e2ba9171d523007ce615ff3b51bba6bb2f12e
compensation_logical_range	0x07EFA3..0x07F08E
uninstalled_sha256	7300346506c982766ed3ae370c56a31e30ad7a9603706bc3c6b18051e70f41c7
uninstall_exactly_reciprocal	true
cancel_sha256	7300346506c982766ed3ae370c56a31e30ad7a9603706bc3c6b18051e70f41c7
cancel_byte_identical	true
