field	value
target_executable	LMSnesTilesetOracle.exe
selected_page_hex	0
map16_address_hex	777E58
graphics_set_bytes	5056
screen_map_bytes	2048
graphics_byte_differences	5491
map16_byte_differences	1819
graphics-before_sha256	88166aa29cf0254506e77cbaf0f66faf9fc2e6579c989ea9cd87a6c6cff371c0
graphics-after_sha256	dcf941aca69b2c2c2430582dd4475b1f66d5c84afac086c8f6c3f9f36305042f
map16-before_sha256	713c57004ead3ffebbc17cbf1d313d49535b926209def2b9828d60bf59919052
map16-after_sha256	9b63d10a20a4dff03df84ea76c6ab1fe05306d6a19acd967a3abe7b003cefaeb
